gene_id	string_protein_id	propagate_score
ARF5	9606.ENSP00000000233	0.0001371283618163338
SPTBN2	9606.ENSP00000432568	0.0003239360222729275
KIF13B	9606.ENSP00000427900	8.876217408437817e-05
AP1B1	9606.ENSP00000350199	0.0002521870875397173
KIF21A	9606.ENSP00000354878	9.013400250715436e-05
TMED7	9606.ENSP00000405926	0.00017625859369090367
ARFGAP1	9606.ENSP00000314615	0.00016466070460508027
ANK2	9606.ENSP00000349588	0.00010849158495548977
KLC1	9606.ENSP00000414982	0.00030004568577865113
COPZ2	9606.ENSP00000480707	0.00017575749507679363
KIF15	9606.ENSP00000324020	0.00032533631880393964
DCTN5	9606.ENSP00000300087	0.0003009196624158286
KIF2B	9606.ENSP00000268919	0.0003521248799629451
KIF16B	9606.ENSP00000384164	8.536938323152592e-05
KIF25	9606.ENSP00000388878	8.656195985022332e-05
KDELR2	9606.ENSP00000258739	0.0001620010920614775
RAB1B	9606.ENSP00000310226	0.00023251570850980213
TMED10	9606.ENSP00000303145	0.00019913174740046445
KIF3B	9606.ENSP00000364864	0.0002958552351676347
RACGAP1	9606.ENSP00000404190	0.0003433807648304971
SPTBN4	9606.ENSP00000263373	0.00012152047138193579
GBF1	9606.ENSP00000359000	0.00013447365378743486
DYNC1I2	9606.ENSP00000380308	0.0004297424554322487
INS	9606.ENSP00000380432	0.0006840152108626608
CYTH3	9606.ENSP00000297044	1.7617852919592363e-05
CAPZB	9606.ENSP00000401010	0.0003257821200013383
RAB11FIP3	9606.ENSP00000262305	2.0002888608925865e-05
ACAP2	9606.ENSP00000324287	2.612626841666249e-06
KIF3C	9606.ENSP00000264712	0.0002933047777272208
DYNC1LI1	9606.ENSP00000273130	0.0003908362788493497
KIFAP3	9606.ENSP00000354560	0.00029646324678357476
COPA	9606.ENSP00000357048	0.00021569916386134257
YKT6	9606.ENSP00000223369	0.0001658200239036782
COPB1	9606.ENSP00000249923	0.00030101137472048246
IQSEC1	9606.ENSP00000480301	2.1196224076508798e-05
KIF20A	9606.ENSP00000378356	0.0003518749880562091
SURF4	9606.ENSP00000361057	0.0001769780950317824
GGA1	9606.ENSP00000341344	3.317554305266024e-05
CDC5L	9606.ENSP00000360532	0.0003186055273425841
DYNC1I1	9606.ENSP00000320130	0.00038984231719921264
RAB1A	9606.ENSP00000387286	0.00023574160119776836
ACTR1A	9606.ENSP00000358921	0.0003531840924070833
CAPZA2	9606.ENSP00000354947	0.0003118309460841192
CAPZA1	9606.ENSP00000263168	0.0003241929321085025
CD59	9606.ENSP00000379191	0.000321621108788824
SPTBN5	9606.ENSP00000317790	0.00012082706575979182
FOLR1	9606.ENSP00000377284	0.00012741854653195296
USO1	9606.ENSP00000444850	0.0001271902266411404
CENPE	9606.ENSP00000265148	0.0003905623293689577
KIFC1	9606.ENSP00000393963	0.00011879523183684466
KIF9	9606.ENSP00000333942	0.00010150268543420877
KIF4A	9606.ENSP00000363524	0.00034029153240932756
KIF27	9606.ENSP00000297814	8.776892534633096e-05
ARF1	9606.ENSP00000440005	0.0003999295001884251
ARF3	9606.ENSP00000256682	0.00014334258026195155
KLC2	9606.ENSP00000399403	0.0002877291565317855
KIF21B	9606.ENSP00000411831	9.053667710225607e-05
DCTN4	9606.ENSP00000414906	0.00029529952011919495
KIF6	9606.ENSP00000287152	8.579725451759021e-05
KIF18B	9606.ENSP00000465992	0.00010425851930645766
KIF1A	9606.ENSP00000438388	9.48041763167243e-05
KIF26A	9606.ENSP00000388241	0.00027115266588375464
KIF5A	9606.ENSP00000408979	0.0002902576739563201
TMED3	9606.ENSP00000299705	0.00017705468354304243
ACTR10	9606.ENSP00000254286	0.00035146421272168825
KIF20B	9606.ENSP00000360793	0.00010233139627408648
DYNC1LI2	9606.ENSP00000258198	0.0003910680655634577
ARFIP2	9606.ENSP00000484121	1.3268108446286496e-05
TMED9	9606.ENSP00000330945	0.00014536337581072835
ANK1	9606.ENSP00000265709	0.00011929702192649365
ARF4	9606.ENSP00000306010	0.0001418724788047863
ASAP2	9606.ENSP00000281419	2.6372480268926734e-05
CD55	9606.ENSP00000356030	8.821802594472844e-05
SPTAN1	9606.ENSP00000361824	0.000249450619142003
RAB11A	9606.ENSP00000261890	0.00014119620489515372
KIF4B	9606.ENSP00000387875	0.0002967099919145036
KIF18A	9606.ENSP00000263181	0.00036624146382723693
KLC3	9606.ENSP00000375810	0.00028078846930464936
DCTN3	9606.ENSP00000259632	0.00035053808679429876
KIF19	9606.ENSP00000374566	8.53693832315259e-05
KIF23	9606.ENSP00000260363	0.0003319322548240439
BET1	9606.ENSP00000222547	0.00013519436056378767
KDELR1	9606.ENSP00000329471	0.00016737275675401484
ANK3	9606.ENSP00000280772	0.00010424254588307553
DYNC1H1	9606.ENSP00000348965	0.0005062714111770299
SPTBN1	9606.ENSP00000349259	0.00013108724558806911
KIF5B	9606.ENSP00000307078	0.0003872081376118375
COPB2	9606.ENSP00000329419	0.00018230244034737097
DCTN6	9606.ENSP00000221114	0.0003057700643265013
ASAP1	9606.ENSP00000429900	3.922400493919296e-05
DCTN2	9606.ENSP00000408910	0.000377125599260855
KIF11	9606.ENSP00000260731	0.0003785396056716379
TMED2	9606.ENSP00000262225	0.000190533900505507
CYTH1	9606.ENSP00000354398	1.3955035966477493e-05
KIF2C	9606.ENSP00000361298	0.0004026723604500364
ARCN1	9606.ENSP00000264028	0.00017912486087508505
KIF1C	9606.ENSP00000320821	8.916919088925284e-05
DYNLL2	9606.ENSP00000477310	0.0004297384028923388
KIF1B	9606.ENSP00000263934	8.710063155904524e-05
SPTB	9606.ENSP00000451752	0.00012134894184484748
COPG2	9606.ENSP00000402346	0.00018547358022160567
KIFC2	9606.ENSP00000301332	8.592467323852421e-05
COPG1	9606.ENSP00000325002	0.00018618049590025436
ARFIP1	9606.ENSP00000395083	1.1728505658352111e-05
KIF26B	9606.ENSP00000385545	8.706328385908092e-05
CAPZA3	9606.ENSP00000326238	0.00029251000976782826
ACAP1	9606.ENSP00000158762	1.5206245949006292e-05
RAB11FIP4	9606.ENSP00000482620	8.255808151608159e-06
DYNLL1	9606.ENSP00000376297	0.0005906767612515468
ARFGAP2	9606.ENSP00000434442	0.0001262640750975787
KIF2A	9606.ENSP00000385000	0.0003604616905774876
KIF22	9606.ENSP00000160827	0.00030073071592576017
KIF12	9606.ENSP00000363232	8.536938323152589e-05
SEC22B	9606.ENSP00000463393	0.00017261379369033002
KLC4	9606.ENSP00000259708	0.00027850790713068073
ARFGAP3	9606.ENSP00000263245	0.0001364263761809103
ETFA	9606.ENSP00000452762	1.6913918025322467e-05
KDELR3	9606.ENSP00000386918	0.00015628563805736339
SPTA1	9606.ENSP00000357129	0.00012312937904694987
AP1G1	9606.ENSP00000377148	0.00025712787006977855
KIF3A	9606.ENSP00000385808	0.0003017446123835596
COPZ1	9606.ENSP00000449270	0.00017849720914347363
COPE	9606.ENSP00000262812	0.00018156879228648182
DCTN1	9606.ENSP00000354791	0.00033825976244863015
M6PR	9606.ENSP00000000412	0.00022306263720287933
LDLRAP1	9606.ENSP00000363458	0.00019311154903324567
SH3GL2	9606.ENSP00000369981	0.0004040651759123064
STX10	9606.ENSP00000466298	3.7482708595714546e-05
GCC2	9606.ENSP00000307939	3.266375868717999e-05
SYNJ2	9606.ENSP00000347792	0.00024821741230876825
APOB	9606.ENSP00000233242	0.0004067746016244973
HIP1R	9606.ENSP00000253083	0.00024948652394864667
FNBP1L	9606.ENSP00000271234	0.00019440765034444983
WASL	9606.ENSP00000223023	0.00029450604769587697
AP2A1	9606.ENSP00000351926	0.0004512788254241659
NSF	9606.ENSP00000381293	0.0001365922351742777
RAB5B	9606.ENSP00000353444	0.0002363349540002593
IGF2	9606.ENSP00000391826	0.00015843310393461488
SYT8	9606.ENSP00000371394	0.00018964932896367524
CTSZ	9606.ENSP00000217131	0.00016366554105184998
CD3G	9606.ENSP00000431445	0.0032933921714626713
AP2B1	9606.ENSP00000482835	0.00040382997128187575
UBC	9606.ENSP00000441543	0.0008685496301450448
SYT2	9606.ENSP00000356236	0.0002045315479612887
ITSN2	9606.ENSP00000347244	0.0002074810707703979
EPS15L1	9606.ENSP00000393313	0.00019998306752225172
PACSIN1	9606.ENSP00000484060	0.00019380083025443497
CD4	9606.ENSP00000011653	0.00316289671495279
AP1M2	9606.ENSP00000250244	0.00022575738983349295
SYNJ1	9606.ENSP00000409667	0.0002488119571680168
RAB9B	9606.ENSP00000243298	5.468089043067072e-05
AMPH	9606.ENSP00000348602	0.00019823906756332457
VPS51	9606.ENSP00000279281	3.079077808197968e-05
UBQLN2	9606.ENSP00000345195	0.000162042371182646
STAM2	9606.ENSP00000263904	0.00028016892274655806
ARPC5	9606.ENSP00000294742	0.00024180912260971833
TACR1	9606.ENSP00000303522	0.00027103822507989827
IL7R	9606.ENSP00000306157	0.0005884295537788882
DAB2	9606.ENSP00000313391	0.00020229934904069928
REPS2	9606.ENSP00000349824	0.0001899334375721699
STAM	9606.ENSP00000366746	0.0002793039538637004
STON1	9606.ENSP00000384615	0.00019498811239332528
RAB5C	9606.ENSP00000447053	0.00034436044252264645
CFTR	9606.ENSP00000003084	0.00028435412653971497
SNX18	9606.ENSP00000317332	0.00018839664796255613
SYT9	9606.ENSP00000324419	0.00019370206559483712
FNBP1	9606.ENSP00000413625	0.00019373709420794036
KIF13A	9606.ENSP00000259711	8.163273104107159e-06
AP1S1	9606.ENSP00000336666	0.00028070975639827976
SLC18A3	9606.ENSP00000363229	0.00020366862835754138
AVP	9606.ENSP00000369647	0.000314156829891461
DVL2	9606.ENSP00000005340	0.00028848789994299895
BIN1	9606.ENSP00000316779	0.00020727730171105858
NAPG	9606.ENSP00000324628	0.00010481809562067135
TRIP10	9606.ENSP00000320117	0.00022526021979570295
LRP2	9606.ENSP00000263816	0.00022814025087681606
CBL	9606.ENSP00000264033	0.0006691629387396473
SH3KBP1	9606.ENSP00000380921	0.00026590812517686706
ADRB2	9606.ENSP00000305372	0.00027158205248819226
AP1S2	9606.ENSP00000444957	0.00023762708476532005
SYT11	9606.ENSP00000357307	0.00019619946545229664
GAK	9606.ENSP00000314499	0.00024742188965920313
VPS54	9606.ENSP00000272322	3.612497502646945e-05
REPS1	9606.ENSP00000392065	0.00019584637468959834
GNS	9606.ENSP00000258145	9.709225052647531e-05
NECAP1	9606.ENSP00000341737	0.00023097827600599314
