gene_id	string_protein_id	propagate_score
ARF5	9606.ENSP00000000233	0.00018696233178943535
SPTBN2	9606.ENSP00000432568	0.0004683055156529241
KIF13B	9606.ENSP00000427900	0.0001234499511050868
AP1B1	9606.ENSP00000350199	0.00038634192649875094
KIF21A	9606.ENSP00000354878	0.00012478112739538292
TMED7	9606.ENSP00000405926	0.00024553159583340763
ARFGAP1	9606.ENSP00000314615	0.00021775777712323906
ANK2	9606.ENSP00000349588	0.00013745252988977977
KLC1	9606.ENSP00000414982	0.0004502400769469385
COPZ2	9606.ENSP00000480707	0.00024499628295724746
KIF15	9606.ENSP00000324020	0.0004749785404696308
DCTN5	9606.ENSP00000300087	0.0004574602521967071
KIF2B	9606.ENSP00000268919	0.00048647383567924153
KIF16B	9606.ENSP00000384164	0.00012007670778952609
KIF25	9606.ENSP00000388878	0.00012122908261905395
KDELR2	9606.ENSP00000258739	0.00021573268329094046
RAB1B	9606.ENSP00000310226	0.0003046498274033752
TMED10	9606.ENSP00000303145	0.000266612037454874
KIF3B	9606.ENSP00000364864	0.00045738578570321114
RACGAP1	9606.ENSP00000404190	0.0004885718341391767
SPTBN4	9606.ENSP00000263373	0.00013881319784484503
GBF1	9606.ENSP00000359000	0.00018337776073820635
DYNC1I2	9606.ENSP00000380308	0.0005656535668374462
INS	9606.ENSP00000380432	0.0006470416946568133
CYTH3	9606.ENSP00000297044	1.9394769158692525e-05
CAPZB	9606.ENSP00000401010	0.0004892616509147026
RAB11FIP3	9606.ENSP00000262305	2.0246164702118818e-05
ACAP2	9606.ENSP00000324287	3.0983994854393628e-06
KIF3C	9606.ENSP00000264712	0.00045481375984185825
DYNC1LI1	9606.ENSP00000273130	0.0005278245259622851
KIFAP3	9606.ENSP00000354560	0.0004580683054948224
COPA	9606.ENSP00000357048	0.0002979416739459724
YKT6	9606.ENSP00000223369	0.0002143444300108777
COPB1	9606.ENSP00000249923	0.00032800097995155545
IQSEC1	9606.ENSP00000480301	1.937726335551452e-05
KIF20A	9606.ENSP00000378356	0.0004862359804769049
SURF4	9606.ENSP00000361057	0.0001822683618597842
GGA1	9606.ENSP00000341344	3.994063658638712e-05
CDC5L	9606.ENSP00000360532	0.00028237179195611284
DYNC1I1	9606.ENSP00000320130	0.0005262447739072863
RAB1A	9606.ENSP00000387286	0.00030788898157394065
ACTR1A	9606.ENSP00000358921	0.0005102559563344407
CAPZA2	9606.ENSP00000354947	0.0004684386858016074
CAPZA1	9606.ENSP00000263168	0.00048285535812527187
CD59	9606.ENSP00000379191	0.00029142035952079684
SPTBN5	9606.ENSP00000317790	0.0001385176683773463
FOLR1	9606.ENSP00000377284	0.00016985101154474728
USO1	9606.ENSP00000444850	0.0001684182576869309
CENPE	9606.ENSP00000265148	0.0005211910823016455
KIFC1	9606.ENSP00000393963	0.00015003139566169694
KIF9	9606.ENSP00000333942	0.00013829353404155246
KIF4A	9606.ENSP00000363524	0.0004966444467519044
KIF27	9606.ENSP00000297814	0.00012233090924066925
