gene_id	string_protein_id	propagate_score
ARF5	9606.ENSP00000000233	0.00010368576937423691
SPTBN2	9606.ENSP00000432568	0.00022752855096947152
KIF13B	9606.ENSP00000427900	6.60177964114385e-05
AP1B1	9606.ENSP00000350199	0.00016981716150888488
KIF21A	9606.ENSP00000354878	6.668512049190964e-05
TMED7	9606.ENSP00000405926	0.00013155008900194102
ARFGAP1	9606.ENSP00000314615	0.00012463875783596165
ANK2	9606.ENSP00000349588	9.286929019013796e-05
KLC1	9606.ENSP00000414982	0.0001995267383951693
COPZ2	9606.ENSP00000480707	0.00013102722071130457
KIF15	9606.ENSP00000324020	0.00022680547638859622
DCTN5	9606.ENSP00000300087	0.0002051493078670622
KIF2B	9606.ENSP00000268919	0.00026624884833529217
KIF16B	9606.ENSP00000384164	6.213507896506347e-05
KIF25	9606.ENSP00000388878	6.32468434087142e-05
KDELR2	9606.ENSP00000258739	0.00012346442028555166
RAB1B	9606.ENSP00000310226	0.0001851534667894025
TMED10	9606.ENSP00000303145	0.00015483465975344745
KIF3B	9606.ENSP00000364864	0.00019664323885079044
RACGAP1	9606.ENSP00000404190	0.00024623504605010414
SPTBN4	9606.ENSP00000263373	0.00010198854572721448
GBF1	9606.ENSP00000359000	0.00010261891981290293
DYNC1I2	9606.ENSP00000380308	0.00034182201931004486
INS	9606.ENSP00000380432	0.0006451653351377552
CYTH3	9606.ENSP00000297044	1.8428279805911128e-05
CAPZB	9606.ENSP00000401010	0.0002271785315699884
RAB11FIP3	9606.ENSP00000262305	1.9744483276213257e-05
ACAP2	9606.ENSP00000324287	2.8819882400336956e-06
KIF3C	9606.ENSP00000264712	0.00019422407420768742
DYNC1LI1	9606.ENSP00000273130	0.00030127773738260243
KIFAP3	9606.ENSP00000354560	0.00019718382527144856
COPA	9606.ENSP00000357048	0.00016206216435938042
YKT6	9606.ENSP00000223369	0.00013402936011877356
COPB1	9606.ENSP00000249923	0.0002526456918615229
IQSEC1	9606.ENSP00000480301	1.647746730361457e-05
KIF20A	9606.ENSP00000378356	0.0002450801149022493
SURF4	9606.ENSP00000361057	0.00013774194627141006
GGA1	9606.ENSP00000341344	3.18299679133772e-05
CDC5L	9606.ENSP00000360532	0.0003316521413048602
DYNC1I1	9606.ENSP00000320130	0.00030158507634248745
RAB1A	9606.ENSP00000387286	0.00018719810379867847
ACTR1A	9606.ENSP00000358921	0.00025729348145790915
CAPZA2	9606.ENSP00000354947	0.0002238755919445842
CAPZA1	9606.ENSP00000263168	0.0002349070728302791
CD59	9606.ENSP00000379191	0.00030318213168645497
SPTBN5	9606.ENSP00000317790	0.00010111829929701979
FOLR1	9606.ENSP00000377284	0.00010054698717234738
USO1	9606.ENSP00000444850	0.00010076279919267449
CENPE	9606.ENSP00000265148	0.00030157457072918216
KIFC1	9606.ENSP00000393963	9.459768403909764e-05
KIF9	9606.ENSP00000333942	7.779760843962452e-05
KIF4A	9606.ENSP00000363524	0.00023871262214960733
KIF27	9606.ENSP00000297814	6.458500630187293e-05
ARF1	9606.ENSP00000440005	0.00028577447001125467
ARF3	9606.ENSP00000256682	0.00010810229503916968
KLC2	9606.ENSP00000399403	0.00019006387793977684
KIF21B	9606.ENSP00000411831	6.568159981816444e-05
DCTN4	9606.ENSP00000414906	0.00019848507214324928
KIF6	9606.ENSP00000287152	6.255622141998695e-05
KIF18B	9606.ENSP00000465992	8.010599465982676e-05
KIF1A	9606.ENSP00000438388	7.154549937825992e-05
KIF26A	9606.ENSP00000388241	0.00017590294539461486
KIF5A	9606.ENSP00000408979	0.00019364657711856226
TMED3	9606.ENSP00000299705	0.00013218476699497673
ACTR10	9606.ENSP00000254286	0.0002521294106782142
KIF20B	9606.ENSP00000360793	7.826005058632107e-05
DYNC1LI2	9606.ENSP00000258198	0.0003015501998138189
ARFIP2	9606.ENSP00000484121	1.2701880755513058e-05
TMED9	9606.ENSP00000330945	0.00010989766519716202
ANK1	9606.ENSP00000265709	0.0001033748037120076
ARF4	9606.ENSP00000306010	0.00010707354899822982
ASAP2	9606.ENSP00000281419	2.268838834051465e-05
CD55	9606.ENSP00000356030	7.027849941475602e-05
SPTAN1	9606.ENSP00000361824	0.00024161783882443736
RAB11A	9606.ENSP00000261890	0.0001351016613597588
KIF4B	9606.ENSP00000387875	0.00019770976390022244
KIF18A	9606.ENSP00000263181	0.0002788785766444059
KLC3	9606.ENSP00000375810	0.00018481363552441386
DCTN3	9606.ENSP00000259632	0.0002541876942186444
KIF19	9606.ENSP00000374566	6.213507896506347e-05
KIF23	9606.ENSP00000260363	0.00023361754150111105
BET1	9606.ENSP00000222547	0.0001074933808909106
KDELR1	9606.ENSP00000329471	0.0001291507353617877
ANK3	9606.ENSP00000280772	8.778905154098616e-05
DYNC1H1	9606.ENSP00000348965	0.0004163591957774725
SPTBN1	9606.ENSP00000349259	0.00011237905905270607
KIF5B	9606.ENSP00000307078	0.00024982591782795374
COPB2	9606.ENSP00000329419	0.00013668205365149596
DCTN6	9606.ENSP00000221114	0.0002075102939110007
ASAP1	9606.ENSP00000429900	3.565170986005942e-05
DCTN2	9606.ENSP00000408910	0.0002790832643043588
KIF11	9606.ENSP00000260731	0.0002724753489280068
TMED2	9606.ENSP00000262225	0.0001460752442959376
CYTH1	9606.ENSP00000354398	1.388613606424805e-05
KIF2C	9606.ENSP00000361298	0.0003129125550334474
ARCN1	9606.ENSP00000264028	0.0001337374094227883
KIF1C	9606.ENSP00000320821	6.601893892631366e-05
DYNLL2	9606.ENSP00000477310	0.0003387356396829543
KIF1B	9606.ENSP00000263934	6.365903969834586e-05
SPTB	9606.ENSP00000451752	0.00010184432791372576
COPG2	9606.ENSP00000402346	0.0001379664637664118
KIFC2	9606.ENSP00000301332	6.263782318536525e-05
COPG1	9606.ENSP00000325002	0.00013883987921292087
ARFIP1	9606.ENSP00000395083	1.1042377885143692e-05
KIF26B	9606.ENSP00000385545	6.404916724709012e-05
CAPZA3	9606.ENSP00000326238	0.00019614054790411677
ACAP1	9606.ENSP00000158762	1.431215738639412e-05
RAB11FIP4	9606.ENSP00000482620	8.481565120812492e-06
DYNLL1	9606.ENSP00000376297	0.0004961019692342638
