gene_id	string_protein_id	propagate_score
ARF5	9606.ENSP00000000233	0.00013203490721648724
SPTBN2	9606.ENSP00000432568	0.000308683067904372
KIF13B	9606.ENSP00000427900	8.56567959799841e-05
AP1B1	9606.ENSP00000350199	0.0002428618400065525
KIF21A	9606.ENSP00000354878	8.653807924485562e-05
TMED7	9606.ENSP00000405926	0.00017050509397435184
ARFGAP1	9606.ENSP00000314615	0.00015655327964312585
ANK2	9606.ENSP00000349588	0.00010810546445039201
KLC1	9606.ENSP00000414982	0.0002840925418658895
COPZ2	9606.ENSP00000480707	0.00016997725817851947
KIF15	9606.ENSP00000324020	0.0003104527178002406
DCTN5	9606.ENSP00000300087	0.0002901220095186698
KIF2B	9606.ENSP00000268919	0.0003406766205724981
KIF16B	9606.ENSP00000384164	8.194111851718033e-05
KIF25	9606.ENSP00000388878	8.306484154393297e-05
KDELR2	9606.ENSP00000258739	0.0001550572824196746
RAB1B	9606.ENSP00000310226	0.00022607996929100598
TMED10	9606.ENSP00000303145	0.0001930532170617252
KIF3B	9606.ENSP00000364864	0.00028440276465395767
RACGAP1	9606.ENSP00000404190	0.00032813466532458134
SPTBN4	9606.ENSP00000263373	0.0001147465495146862
GBF1	9606.ENSP00000359000	0.0001303286875559714
DYNC1I2	9606.ENSP00000380308	0.00041732154248678424
INS	9606.ENSP00000380432	0.0006480299824731871
CYTH3	9606.ENSP00000297044	1.890283171213734e-05
CAPZB	9606.ENSP00000401010	0.00031551419062388135
RAB11FIP3	9606.ENSP00000262305	1.9858086965961273e-05
ACAP2	9606.ENSP00000324287	2.97200315868426e-06
KIF3C	9606.ENSP00000264712	0.00028192716248102734
DYNC1LI1	9606.ENSP00000273130	0.00037760935240747803
KIFAP3	9606.ENSP00000354560	0.0002849853467484591
COPA	9606.ENSP00000357048	0.0002084709963221553
YKT6	9606.ENSP00000223369	0.00016169768239592067
COPB1	9606.ENSP00000249923	0.0002795876849031218
IQSEC1	9606.ENSP00000480301	1.7561597628921038e-05
KIF20A	9606.ENSP00000378356	0.0003264225287263314
SURF4	9606.ENSP00000361057	0.00015349590025695944
GGA1	9606.ENSP00000341344	3.469005825720199e-05
CDC5L	9606.ENSP00000360532	0.00031295286682506406
DYNC1I1	9606.ENSP00000320130	0.00037734922503905664
RAB1A	9606.ENSP00000387286	0.00022839006338889765
ACTR1A	9606.ENSP00000358921	0.00034243953076502345
CAPZA2	9606.ENSP00000354947	0.000306315113672783
CAPZA1	9606.ENSP00000263168	0.00031843692026906404
CD59	9606.ENSP00000379191	0.0003013578692602879
SPTBN5	9606.ENSP00000317790	0.00011407762947837807
FOLR1	9606.ENSP00000377284	0.00012434185902763267
USO1	9606.ENSP00000444850	0.00012365148734461807
CENPE	9606.ENSP00000265148	0.0003758290077973967
KIFC1	9606.ENSP00000393963	0.00011358292399954356
KIF9	9606.ENSP00000333942	9.860052590598232e-05
KIF4A	9606.ENSP00000363524	0.0003257033293682065
KIF27	9606.ENSP00000297814	8.433517675152722e-05
ARF1	9606.ENSP00000440005	0.0003859209256142104
ARF3	9606.ENSP00000256682	0.00013818959191479272
KLC2	9606.ENSP00000399403	0.00027557179544134594
KIF21B	9606.ENSP00000411831	8.683265924660582e-05
DCTN4	9606.ENSP00000414906	0.00028330351225562675
KIF6	9606.ENSP00000287152	8.232421172043304e-05
KIF18B	9606.ENSP00000465992	9.96110966274448e-05
KIF1A	9606.ENSP00000438388	9.127199185086213e-05
KIF26A	9606.ENSP00000388241	0.0002602162960824683
KIF5A	9606.ENSP00000408979	0.0002783840047729309
TMED3	9606.ENSP00000299705	0.0001712588094740444
ACTR10	9606.ENSP00000254286	0.00033897134619760816
KIF20B	9606.ENSP00000360793	9.780102723507659e-05
DYNC1LI2	9606.ENSP00000258198	0.00037806912763688953
ARFIP2	9606.ENSP00000484121	1.332845026146612e-05
TMED9	9606.ENSP00000330945	0.00014031728285381173
ANK1	9606.ENSP00000265709	0.00011638322258187833
ARF4	9606.ENSP00000306010	0.00013406952310851812
ASAP2	9606.ENSP00000281419	2.353769699259855e-05
CD55	9606.ENSP00000356030	8.591535303925245e-05
SPTAN1	9606.ENSP00000361824	0.00026118562437470416
RAB11A	9606.ENSP00000261890	0.00013994627907521525
KIF4B	9606.ENSP00000387875	0.00028515151886121797
KIF18A	9606.ENSP00000263181	0.0003535229334011599
KLC3	9606.ENSP00000375810	0.0002698513130208778
DCTN3	9606.ENSP00000259632	0.00033900298805673564
KIF19	9606.ENSP00000374566	8.194111851718033e-05
KIF23	9606.ENSP00000260363	0.00031731203678390284
BET1	9606.ENSP00000222547	0.00013183685688902095
KDELR1	9606.ENSP00000329471	0.00016090187953235013
ANK3	9606.ENSP00000280772	0.00010336829501123909
DYNC1H1	9606.ENSP00000348965	0.0004942708735422188
SPTBN1	9606.ENSP00000349259	0.00012480599754805327
KIF5B	9606.ENSP00000307078	0.0003226926981527335
COPB2	9606.ENSP00000329419	0.00017636563433097858
DCTN6	9606.ENSP00000221114	0.00029371691475990207
ASAP1	9606.ENSP00000429900	3.6466498726365117e-05
DCTN2	9606.ENSP00000408910	0.0003660828069095975
KIF11	9606.ENSP00000260731	0.0003527809819391177
TMED2	9606.ENSP00000262225	0.00018470261147750377
CYTH1	9606.ENSP00000354398	1.5125571888030897e-05
KIF2C	9606.ENSP00000361298	0.0003872504172408495
ARCN1	9606.ENSP00000264028	0.00017326638165469498
KIF1C	9606.ENSP00000320821	8.62109387785838e-05
DYNLL2	9606.ENSP00000477310	0.0004168675910209523
KIF1B	9606.ENSP00000263934	8.337613624602834e-05
SPTB	9606.ENSP00000451752	0.00011473793845825845
COPG2	9606.ENSP00000402346	0.0001794718029218079
KIFC2	9606.ENSP00000301332	8.246937513441474e-05
COPG1	9606.ENSP00000325002	0.00018022107305919202
ARFIP1	9606.ENSP00000395083	1.1507906447920023e-05
KIF26B	9606.ENSP00000385545	8.354179916601809e-05
CAPZA3	9606.ENSP00000326238	0.00028076168858558154
ACAP1	9606.ENSP00000158762	1.347067396536862e-05
RAB11FIP4	9606.ENSP00000482620	8.622447353361421e-06
DYNLL1	9606.ENSP00000376297	0.0005611042959858294
ARFGAP2	9606.ENSP00000434442	0.0001215718480494589
KIF2A	9606.ENSP00000385000	0.0003485432746463482
KIF22	9606.ENSP00000160827	0.00028790742624714837
KIF12	9606.ENSP00000363232	8.194111851718033e-05
SEC22B	9606.ENSP00000463393	0.00016750778728969002
KLC4	9606.ENSP00000259708	0.0002676981808913669
ARFGAP3	9606.ENSP00000263245	0.00012852976063916494
ETFA	9606.ENSP00000452762	1.6017303496110085e-05
KDELR3	9606.ENSP00000386918	0.00015059998824640817
SPTA1	9606.ENSP00000357129	0.0001167267145727089
AP1G1	9606.ENSP00000377148	0.00024789351450010756
KIF3A	9606.ENSP00000385808	0.00029054528814479873
COPZ1	9606.ENSP00000449270	0.00017269255230963727
COPE	9606.ENSP00000262812	0.00017566178385746198
DCTN1	9606.ENSP00000354791	0.00032507269737455554
M6PR	9606.ENSP00000000412	0.0002185723070004273
LDLRAP1	9606.ENSP00000363458	0.00018948061170507278
SH3GL2	9606.ENSP00000369981	0.0003940644168915411
STX10	9606.ENSP00000466298	3.679455834447104e-05
GCC2	9606.ENSP00000307939	3.196265403363623e-05
SYNJ2	9606.ENSP00000347792	0.00023736894436440483
APOB	9606.ENSP00000233242	0.0004086270268477643
HIP1R	9606.ENSP00000253083	0.00024609722274751723
FNBP1L	9606.ENSP00000271234	0.00019166162406215756
WASL	9606.ENSP00000223023	0.0003014376052839225
AP2A1	9606.ENSP00000351926	0.0004412854891419879
NSF	9606.ENSP00000381293	0.0001331022160174329
RAB5B	9606.ENSP00000353444	0.00022979413561617933
IGF2	9606.ENSP00000391826	0.00015044852688900085
SYT8	9606.ENSP00000371394	0.0001860440002690046
CTSZ	9606.ENSP00000217131	0.00017126956675039162
CD3G	9606.ENSP00000431445	0.0032032920866330713
AP2B1	9606.ENSP00000482835	0.0003945035319522024
UBC	9606.ENSP00000441543	0.0008199974547644412
SYT2	9606.ENSP00000356236	0.0002007837309934876
ITSN2	9606.ENSP00000347244	0.00020445144162741812
EPS15L1	9606.ENSP00000393313	0.0001957601908220263
PACSIN1	9606.ENSP00000484060	0.00019004766923890257
CD4	9606.ENSP00000011653	0.0030756891681756374
AP1M2	9606.ENSP00000250244	0.0002173673242928011
SYNJ1	9606.ENSP00000409667	0.00023718398085270848
RAB9B	9606.ENSP00000243298	5.2697675205872036e-05
AMPH	9606.ENSP00000348602	0.00019508766430768144
VPS51	9606.ENSP00000279281	2.9929174320400506e-05
UBQLN2	9606.ENSP00000345195	0.00015856314462274728
STAM2	9606.ENSP00000263904	0.0002719460851688226
ARPC5	9606.ENSP00000294742	0.0002436955546754001
