gene_id	string_protein_id	propagate_score
ARF5	9606.ENSP00000000233	7.024317693213992e-05
SPTBN2	9606.ENSP00000432568	0.00013112107966601515
KIF13B	9606.ENSP00000427900	4.327341873849878e-05
AP1B1	9606.ENSP00000350199	8.744723547805221e-05
KIF21A	9606.ENSP00000354878	4.32362384766649e-05
TMED7	9606.ENSP00000405926	8.684158431297824e-05
ARFGAP1	9606.ENSP00000314615	8.461681106684298e-05
ANK2	9606.ENSP00000349588	7.724699542478614e-05
KLC1	9606.ENSP00000414982	9.900779101168729e-05
COPZ2	9606.ENSP00000480707	8.629694634581539e-05
KIF15	9606.ENSP00000324020	0.00012827463397325253
DCTN5	9606.ENSP00000300087	0.00010937895331829542
KIF2B	9606.ENSP00000268919	0.0001803728167076389
KIF16B	9606.ENSP00000384164	3.890077469860101e-05
KIF25	9606.ENSP00000388878	3.9931726967205056e-05
KDELR2	9606.ENSP00000258739	8.492774850962575e-05
RAB1B	9606.ENSP00000310226	0.00013779122506900302
TMED10	9606.ENSP00000303145	0.00011053757210643024
KIF3B	9606.ENSP00000364864	9.743124253394583e-05
RACGAP1	9606.ENSP00000404190	0.00014908932726971096
SPTBN4	9606.ENSP00000263373	8.245662007249312e-05
GBF1	9606.ENSP00000359000	7.076418583837101e-05
DYNC1I2	9606.ENSP00000380308	0.0002539015831878401
INS	9606.ENSP00000380432	0.0006063154594128494
CYTH3	9606.ENSP00000297044	1.9238706692229882e-05
CAPZB	9606.ENSP00000401010	0.00012857494313863808
RAB11FIP3	9606.ENSP00000262305	1.9486077943500642e-05
ACAP2	9606.ENSP00000324287	3.1513496384011405e-06
KIF3C	9606.ENSP00000264712	9.514337068815352e-05
DYNC1LI1	9606.ENSP00000273130	0.0002117191959158549
KIFAP3	9606.ENSP00000354560	9.790440375932188e-05
COPA	9606.ENSP00000357048	0.00010842516485741798
YKT6	9606.ENSP00000223369	0.00010223869633386872
COPB1	9606.ENSP00000249923	0.00020428000900256322
IQSEC1	9606.ENSP00000480301	1.1758710530720349e-05
KIF20A	9606.ENSP00000378356	0.00013828524174828912
SURF4	9606.ENSP00000361057	9.850579751103756e-05
GGA1	9606.ENSP00000341344	3.048439277409416e-05
CDC5L	9606.ENSP00000360532	0.00034469875526713665
DYNC1I1	9606.ENSP00000320130	0.00021332783548576184
RAB1A	9606.ENSP00000387286	0.00013865460639958866
ACTR1A	9606.ENSP00000358921	0.00016140287050873475
CAPZA2	9606.ENSP00000354947	0.00013592023780504902
CAPZA1	9606.ENSP00000263168	0.00014562121355205535
CD59	9606.ENSP00000379191	0.0002847431545840858
SPTBN5	9606.ENSP00000317790	8.140953283424776e-05
FOLR1	9606.ENSP00000377284	7.367542781274164e-05
USO1	9606.ENSP00000444850	7.433537174420839e-05
CENPE	9606.ENSP00000265148	0.0002125868120894064
KIFC1	9606.ENSP00000393963	7.040013624135059e-05
KIF9	9606.ENSP00000333942	5.4092531445040213e-05
KIF4A	9606.ENSP00000363524	0.00013713371188988678
KIF27	9606.ENSP00000297814	4.140108725741487e-05
ARF1	9606.ENSP00000440005	0.00017161943983408376
ARF3	9606.ENSP00000256682	7.286200981638789e-05
KLC2	9606.ENSP00000399403	9.239859934776783e-05
KIF21B	9606.ENSP00000411831	4.0826522534072765e-05
DCTN4	9606.ENSP00000414906	0.00010167062416730334
KIF6	9606.ENSP00000287152	3.931518832238367e-05
KIF18B	9606.ENSP00000465992	5.595347001319583e-05
KIF1A	9606.ENSP00000438388	4.8286822439795485e-05
KIF26A	9606.ENSP00000388241	8.065322490547478e-05
KIF5A	9606.ENSP00000408979	9.703548028080422e-05
TMED3	9606.ENSP00000299705	8.731485044691086e-05
ACTR10	9606.ENSP00000254286	0.00015279460863474012
KIF20B	9606.ENSP00000360793	5.418870489855563e-05
DYNC1LI2	9606.ENSP00000258198	0.00021203233406417977
ARFIP2	9606.ENSP00000484121	1.213565306473961e-05
TMED9	9606.ENSP00000330945	7.443195458359569e-05
ANK1	9606.ENSP00000265709	8.745258549752148e-05
ARF4	9606.ENSP00000306010	7.227461919167335e-05
ASAP2	9606.ENSP00000281419	1.900429641210255e-05
CD55	9606.ENSP00000356030	5.233897288478359e-05
SPTAN1	9606.ENSP00000361824	0.00023378505850687193
RAB11A	9606.ENSP00000261890	0.00012900711782436387
KIF4B	9606.ENSP00000387875	9.870953588594098e-05
KIF18A	9606.ENSP00000263181	0.00019151568946157473
KLC3	9606.ENSP00000375810	8.88388017441781e-05
DCTN3	9606.ENSP00000259632	0.00015783730164298988
KIF19	9606.ENSP00000374566	3.890077469860101e-05
KIF23	9606.ENSP00000260363	0.0001353028281781778
BET1	9606.ENSP00000222547	7.97924012180334e-05
KDELR1	9606.ENSP00000329471	9.092871396956039e-05
ANK3	9606.ENSP00000280772	7.133555719889677e-05
DYNC1H1	9606.ENSP00000348965	0.000326446980377914
SPTBN1	9606.ENSP00000349259	9.367087251734299e-05
KIF5B	9606.ENSP00000307078	0.00011244369804406967
COPB2	9606.ENSP00000329419	9.106166695562072e-05
DCTN6	9606.ENSP00000221114	0.00010925052349549982
ASAP1	9606.ENSP00000429900	3.2079414780925876e-05
DCTN2	9606.ENSP00000408910	0.0001810409293478624
KIF11	9606.ENSP00000260731	0.00016641109218437584
TMED2	9606.ENSP00000262225	0.00010161658808636812
CYTH1	9606.ENSP00000354398	1.3817236162018593e-05
KIF2C	9606.ENSP00000361298	0.0002231527496168583
ARCN1	9606.ENSP00000264028	8.834995797049134e-05
KIF1C	9606.ENSP00000320821	4.286868696337445e-05
DYNLL2	9606.ENSP00000477310	0.0002477328764735695
KIF1B	9606.ENSP00000263934	4.0217447837646434e-05
SPTB	9606.ENSP00000451752	8.233971398260398e-05
COPG2	9606.ENSP00000402346	9.045934731121784e-05
KIFC2	9606.ENSP00000301332	3.9350973132206254e-05
COPG1	9606.ENSP00000325002	9.14992625255873e-05
ARFIP1	9606.ENSP00000395083	1.0356250111935271e-05
KIF26B	9606.ENSP00000385545	4.1035050635099266e-05
CAPZA3	9606.ENSP00000326238	9.977108604040508e-05
ACAP1	9606.ENSP00000158762	1.3418068823781952e-05
RAB11FIP4	9606.ENSP00000482620	8.707322090016826e-06
DYNLL1	9606.ENSP00000376297	0.00040152717721698094
ARFGAP2	9606.ENSP00000434442	6.223203017323159e-05
KIF2A	9606.ENSP00000385000	0.00018721846086186918
KIF22	9606.ENSP00000160827	0.00010553794142337256
KIF12	9606.ENSP00000363232	3.890077469860101e-05
SEC22B	9606.ENSP00000463393	9.647204722280515e-05
KLC4	9606.ENSP00000259708	8.715664544729207e-05
ARFGAP3	9606.ENSP00000263245	6.71704171719179e-05
ETFA	9606.ENSP00000452762	1.560952852365093e-05
KDELR3	9606.ENSP00000386918	8.281663697630211e-05
SPTA1	9606.ENSP00000357129	8.508234146796531e-05
AP1G1	9606.ENSP00000377148	8.750759644957758e-05
KIF3A	9606.ENSP00000385808	0.00010426089922113136
COPZ1	9606.ENSP00000449270	8.826390059368172e-05
COPE	9606.ENSP00000262812	9.097533789749738e-05
DCTN1	9606.ENSP00000354791	0.00013741147795051685
M6PR	9606.ENSP00000000412	0.00012450762293395425
LDLRAP1	9606.ENSP00000363458	0.00010794595495659226
SH3GL2	9606.ENSP00000369981	0.00018800624726535576
STX10	9606.ENSP00000466298	2.6570673710109494e-05
GCC2	9606.ENSP00000307939	2.3696354426582096e-05
SYNJ2	9606.ENSP00000347792	0.00015230661400591065
APOB	9606.ENSP00000233242	0.0003614266965920928
HIP1R	9606.ENSP00000253083	0.00014051607188958425
FNBP1L	9606.ENSP00000271234	0.00011192197189815901
WASL	9606.ENSP00000223023	0.0002209156508867798
AP2A1	9606.ENSP00000351926	0.0002196722200898285
NSF	9606.ENSP00000381293	9.511720542425616e-05
RAB5B	9606.ENSP00000353444	0.00014272042438432037
IGF2	9606.ENSP00000391826	0.0001634340659910355
SYT8	9606.ENSP00000371394	0.00010585721809368599
CTSZ	9606.ENSP00000217131	0.00013135616169973163
CD3G	9606.ENSP00000431445	0.0007305452145763144
AP2B1	9606.ENSP00000482835	0.00018708204023226032
UBC	9606.ENSP00000441543	0.0007751994557260425
SYT2	9606.ENSP00000356236	0.0001198647997824492
ITSN2	9606.ENSP00000347244	0.00012008787356428617
EPS15L1	9606.ENSP00000393313	0.00011296766287918055
PACSIN1	9606.ENSP00000484060	0.00010898674728753578
CD4	9606.ENSP00000011653	0.0006381914692403053
AP1M2	9606.ENSP00000250244	6.873356645439825e-05
SYNJ1	9606.ENSP00000409667	0.00015222930854302117
RAB9B	9606.ENSP00000243298	4.1566097302535774e-05
AMPH	9606.ENSP00000348602	0.00011486852111127186
VPS51	9606.ENSP00000279281	2.0963815392627816e-05
UBQLN2	9606.ENSP00000345195	9.644497668364672e-05
STAM2	9606.ENSP00000263904	0.00019287409454306042
ARPC5	9606.ENSP00000294742	0.0001608168361872926
TACR1	9606.ENSP00000303522	0.00019529703916154451
IL7R	9606.ENSP00000306157	0.0018074649716024705
DAB2	9606.ENSP00000313391	0.00012046618254311278
REPS2	9606.ENSP00000349824	0.00010583572749253921
STAM	9606.ENSP00000366746	0.00019321340774133006
STON1	9606.ENSP00000384615	0.00011042824745017287
RAB5C	9606.ENSP00000447053	0.00020581774748309125
CFTR	9606.ENSP00000003084	0.00022002295086321271
SNX18	9606.ENSP00000317332	0.00010478554022796606
SYT9	9606.ENSP00000324419	0.0001094466921937405
FNBP1	9606.ENSP00000413625	0.0001112096762960236
KIF13A	9606.ENSP00000259711	6.1449947197536345e-06
AP1S1	9606.ENSP00000336666	9.652897840758156e-05
SLC18A3	9606.ENSP00000363229	0.00011878090958091723
AVP	9606.ENSP00000369647	0.00024194680296801257
DVL2	9606.ENSP00000005340	0.0002577994962471617
BIN1	9606.ENSP00000316779	0.00012732665254966793
